행정구역,2000.01,2000.02,2000.03,2000.04,2000.05,2000.06,2000.07,2000.08,2000.09,2000.10,2000.11,2000.12,2001.01,2001.02,2001.03,2001.04,2001.05,2001.06,2001.07,2001.08,2001.09,2001.10,2001.11,2001.12,2002.01,2002.02,2002.03,2002.04,2002.05,2002.06,2002.07,2002.08,2002.09,2002.10,2002.11,2002.12,2003.01,2003.02,2003.03,2003.04,2003.05,2003.06,2003.07,2003.08,2003.09,2003.10,2003.11,2003.12,2004.01,2004.02,2004.03,2004.04,2004.05,2004.06,2004.07,2004.08,2004.09,2004.10,2004.11,2004.12,2005.01,2005.02,2005.03,2005.04,2005.05,2005.06,2005.07,2005.08,2005.09,2005.10,2005.11,2005.12,2006.01,2006.02,2006.03,2006.04,2006.05,2006.06,2006.07,2006.08,2006.09,2006.10,2006.11,2006.12,2007.01,2007.02,2007.03,2007.04,2007.05,2007.06,2007.07,2007.08,2007.09,2007.10,2007.11,2007.12,2008.01,2008.02,2008.03,2008.04,2008.05,2008.06,2008.07,2008.08,2008.09,2008.10,2008.11,2008.12,2009.01,2009.02,2009.03,2009.04,2009.05,2009.06,2009.07,2009.08,2009.09,2009.10,2009.11,2009.12,2010.01,2010.02,2010.03,2010.04,2010.05,2010.06,2010.07,2010.08,2010.09,2010.10,2010.11,2010.12,2011.01,2011.02,2011.03,2011.04,2011.05,2011.06,2011.07,2011.08,2011.09,2011.10,2011.11,2011.12,2012.01,2012.02,2012.03,2012.04,2012.05,2012.06,2012.07,2012.08,2012.09,2012.10,2012.11,2012.12,2013.01,2013.02,2013.03,2013.04,2013.05,2013.06,2013.07,2013.08,2013.09,2013.10,2013.11,2013.12,2014.01,2014.02,2014.03,2014.04,2014.05,2014.06,2014.07,2014.08,2014.09,2014.10,2014.11,2014.12,2015.01,2015.02,2015.03,2015.04,2015.05,2015.06,2015.07,2015.08,2015.09,2015.10,2015.11,2015.12,2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2016.07,2016.08,2016.09,2016.10,2016.11,2016.12,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.10,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
서울특별시,972,6018,-5460,-2489,-3603,-7083,-1228,-357,-2580,-10745,-13269,-7115,408,4871,-8270,-12831,-15773,-15139,-4491,-10211,-12642,-12672,-11715,-15484,5571,-415,-11392,-14169,-16751,-11158,-7348,-8444,-13610,-14688,-9763,-4254,1557,4628,-4539,-7347,-7562,-7676,-3746,-5701,-6804,-8177,-7714,-15887,7429,5776,-4441,-3097,-4777,-3976,-4724,-3201,-5067,-6645,-11504,-12977,1389,3057,-3905,-5491,-6808,-7403,-3185,-4428,-4023,-5584,-7014,-7612,2314,7510,-2462,-4395,-4097,-4600,-1705,-1067,-2608,-7270,-8434,-9737,1657,2607,-3636,-6139,-6465,-6072,-3406,-3245,-4765,-7769,-7998,-7652,2342,2244,-5057,-6978,-8537,-9643,-7344,-5456,-5216,-4647,-5379,-4323,3430,7663,-2366,-4110,-2341,-2076,-3374,-4575,-7736,-9592,-13526,-13661,-4124,-5321,-12306,-11667,-11823,-9056,-7946,-7590,-8553,-10468,-14197,-11972,-4324,-3597,-10861,-10056,-10320,-10341,-8720,-9835,-9951,-9841,-12884,-12328,-3381,-2853,-9032,-8695,-8379,-7834,-8753,-9226,-8190,-11349,-11130,-14825,-4529,-4723,-7713,-10005,-8211,-8750,-8888,-6930,-6519,-8773,-11357,-14152,-4272,-2832,-6143,-8456,-7587,-8395,-7519,-5663,-6126,-9122,-9168,-12548,-3055,-4136,-9374,-11117,-11676,-14378,-11723,-12911,-12886,-14997,-13610,-17393,-6854,-8211,-8820,-10658,-11958,-12064,-12845,-14671,-10910,-13258,-14582,-15426,-2518,-1548,-4699,-6375,-6590,-6045,-8243,-8991,-13331,-10741,-14687,-14718,-7155,-7234,-7978,-10067,-11298,-8522,-9401,-8968,-7961,-10707,-11335,-9604,-94,3034,-1650,-4738,-6328,-6105,-7077,-7410,-5466,-5060,-4708,-3986,3946,3305,-3404,-7117,-2709,-3932,-5919,-8044,-10044,-10312,-9486,-11134,-10440,-9415,-6216,-9738,-8309,-8288,-8429,-8117,-8119,-9389,-10554,-3911.58,-9495.75,-8868.42,-5747.33,-3933.67,-4250.58,-3045.92,-4406.92,-4832.83,-4355.33,-9585.25,-9421.5,-8637.25,-8379.17,-7319.25,-11438.0,-11688.08,-8207.17,-9185.83,-4132.33,-5404.17,-8819.45
부산광역시,-3291,-3617,-3664,-4100,-5181,-5532,-2075,-3257,-2866,-3328,-3857,-2926,-1424,-3510,-3507,-3629,-4006,-4030,-1711,-2393,-3114,-4395,-4133,-5336,-3360,-2641,-4632,-4900,-6103,-4090,-2878,-3640,-3956,-6109,-5291,-1842,-1476,-4298,-5482,-5010,-4806,-4470,-1126,-2907,-1473,-3207,-3133,-4875,349,-1795,-3802,-3805,-4126,-3475,-2076,-1461,-1872,-2852,-3790,-4524,-254,-2298,-3944,-4037,-4248,-4030,-2356,-2925,-2494,-2625,-3896,-3868,-2401,-2410,-3693,-3384,-3569,-2637,-1958,-1992,-2118,-2065,-3652,-4807,-2510,-2536,-3098,-3318,-2914,-2253,-2535,-3698,-2257,-3394,-3639,-3924,-1770,-3291,-3612,-2783,-3218,-3460,-2677,-2513,-2211,-3145,-2656,-3268,-1091,-2098,-2753,-2453,-2678,-2432,-2814,-2399,-2164,-2517,-3086,-3299,-2404,-2090,-3603,-3173,-3164,-1668,-1698,-2134,-1813,-721,-2862,-3136,-1972,-785,-2361,-2641,-836,-23,-2912,-3205,-2604,-2536,-1468,-3520,-1914,-1326,-2067,-2108,-2743,-1968,-744,-1656,-1465,-1652,-1551,-1416,-700,50,-1458,-945,-1939,-2366,-2055,-1843,-912,-1835,-1091,-2616,-1464,339,-2350,-2754,-2521,-815,-1609,-785,-399,4568,-3678,-3624,-1998,-683,-2670,-1052,-434,1168,745,-1737,-2072,-1756,-1431,-1640,-738,-670,-1298,-1031,-1719,-2113,-1930,-1531,-1948,-2487,-2504,-3423,-2008,-1290,-2056,-1944,-2360,-2564,-1971,-747,-1458,-4749,-3545,-3706,-2949,-1278,-2209,-2370,-2509,-2493,-2371,-2040,-1363,-2372,-2034,-2771,-2558,-1677,-1920,-2110,-1833,-1756,-1924,-1897,-1390,-2230,-1682,-2377,-1378,-223,-399,-958,-919,-1900,-1089,-1259,-922,-1328,-1334,-2638,-1772,-974,-1955,-2085,-1525,-1781,-2096,-1713,-121,-1615,-1507,-3641.17,-3432.33,-4120.17,-3521.92,-2769.08,-3081.25,-2890.5,-3006.33,-2883.67,-2482.0,-2372.17,-2071.92,-1717.5,-1475.83,-1257.67,-1130.0,-1782.67,-2366.5,-2229.92,-1946.17,-1195.58,-1558.55
대구광역시,1156,1334,-729,-350,-602,-1077,-11,628,-10,-1269,-890,-1532,254,428,-1540,-1378,-1058,-1576,-585,-938,-796,-445,-1569,-5030,747,968,-2083,-1238,-1968,-163,-95,183,-551,-64,-388,-4989,3568,1707,-1715,-1485,-1612,-1904,40,449,1087,-417,-556,-2218,2760,795,-1921,-1355,-1147,-546,-1331,-1370,-1347,-1879,-2383,-3603,-317,-890,-2740,-2717,-2620,-2306,-1168,-1896,-1703,-2244,-2382,-3967,-2168,-3392,-4269,-2895,-2471,-825,-712,-639,-529,-1664,-2178,-3917,-377,-272,-2287,-1601,-1023,-1195,-982,-1119,-893,-2686,-1658,-2452,-24,-246,-2881,-1136,-973,-1269,-977,-645,-583,-1125,-534,-2345,216,111,-1673,-1284,-1602,-1101,-1020,-776,-588,-659,-1121,-3165,-92,-663,-2621,-2013,-1483,158,-774,-656,-262,-766,-1000,-1668,-289,-510,-1815,-1278,-807,-901,-843,-576,-1253,-1117,-1112,-2246,577,-499,-1539,-1069,-1029,-763,-729,-206,-779,-1127,-428,-2973,-1324,-959,-805,-323,-511,-1879,-744,-891,-344,-743,-753,-2075,-276,-1544,-450,-1597,-1917,-819,-1400,-1701,-6094,1019,349,-1096,-1220,-655,-1379,-990,-398,-1388,-968,-894,-696,-1415,-949,-1988,-487,-1788,-1014,-933,-1191,-868,-489,80,-396,-653,-264,-1257,-97,-467,-1178,-637,-986,-615,-735,-1878,-1861,-1193,-875,-1414,-664,-843,-1419,-1159,-1436,-451,-944,-1584,-1007,-1381,-1196,-2158,-1213,-2266,-2425,-1724,-1914,-1780,-1788,-1925,-1481,-1764,-1924,-3469,-1325,-3422,984,-1719,-2267,-967,112,371,-1192,-2351,-1963,-3096,-2139,-2502,-2877,-2291,-2391,-2154,-1749,-1882,-646,-1695,-1806,-279.33,-1186.08,-803.42,-254.67,-1110.58,-2079.17,-2138.25,-1378.75,-1061.5,-1055.17,-986.67,-1062.25,-880.33,-945.92,-1293.83,-1078.33,-771.67,-994.67,-1186.83,-1972.75,-1402.92,-2012.0
인천광역시,353,-789,936,1660,2040,1613,1482,1966,1079,3407,518,-1100,455,-1062,759,1391,815,-1066,588,685,403,36,-411,-1476,1709,-555,1848,1581,156,190,-667,-840,-365,-1684,500,-1643,91,-1693,-310,-1538,-1509,-2031,-1618,-1624,-696,-1427,-920,-2896,634,-1139,-433,-190,-748,-655,-574,-704,191,1303,407,573,1289,478,597,375,611,739,1564,1973,406,763,1331,839,427,202,321,-563,-293,1057,414,382,1304,3018,1969,1380,1580,1776,1801,2436,1655,2285,2224,2643,2486,2606,1542,-313,1801,1565,2452,2446,1550,1924,636,-625,-592,-1499,-757,518,-718,-1350,-681,-179,293,-52,26,331,1048,1270,1362,748,1037,841,123,219,349,190,301,-30,-211,-188,197,784,1657,2393,2342,2222,2091,2845,2341,2888,2313,3170,3107,1440,1784,2715,1963,2541,1979,1628,1922,2937,2032,2870,2914,2509,1629,1927,1843,2197,1536,1609,1958,1284,1523,2207,2383,1939,1213,1680,641,1485,1223,-141,522,9,465,837,915,475,1309,367,643,712,539,1016,1230,1112,884,776,631,319,546,411,215,1330,651,351,785,666,607,388,-8,-165,195,-350,-15,54,159,201,127,-517,-1381,128,-281,10,1883,415,-780,518,154,94,-645,-1114,-646,-285,16,323,918,-395,-98,-302,5,-473,-653,-580,-167,-204,13,-401,-913,-1275,-2391,-1951,-1106,-2912,-1855,-2381,-1336,-270,65,577,-469,-806,-176,-132,227,131,1012,944,3231,3294,1616,1097.08,93.08,19.17,-1347.58,-111.25,913.75,801.5,1893.42,784.92,174.83,301.0,2400.75,2316.17,1836.25,777.0,794.83,481.42,-139.17,-5.58,-194.75,-1312.33,806.55
광주광역시,1187,901,-869,143,-1592,-6296,3323,1949,911,833,277,-781,1482,1478,-417,-617,-685,-6217,2876,1422,601,744,211,-999,2263,1471,-1803,-2118,-1267,1351,1609,1155,533,504,462,195,-32,-1385,-2800,-811,-708,-2787,1379,245,173,-39,-159,-2763,3156,889,3,-289,-796,-1199,-374,-567,-405,-756,-841,-1969,19,184,-1411,-602,-755,-1156,-375,-517,-755,-259,-758,-948,875,-98,-2249,-1382,-1065,695,337,366,463,111,-30,-753,247,373,-575,-713,-354,-837,0,-15,-260,-437,-161,-1411,497,627,-993,-288,-351,-57,429,483,324,316,63,-603,315,558,-614,85,457,-25,656,723,959,7,205,-218,707,447,-1030,-801,110,1127,814,872,675,840,566,-796,961,1262,-600,-198,170,-254,864,814,-84,38,-157,-1537,1199,591,-349,-779,-787,-653,65,227,142,85,425,-1991,291,197,-457,-98,-111,-397,-21,-64,-134,-221,-277,-1300,73,-675,-1425,-1202,1358,382,649,339,455,-275,98,-2754,492,-79,-266,-379,-900,-700,-703,-1037,-1008,-1535,-79,-3078,153,-1062,-973,-239,17,-410,-198,-493,-464,-870,-875,-2484,126,-1299,-1075,-1012,-510,-433,-316,25,-167,-164,-624,-2669,139,-978,-1287,-1237,-689,-35,309,33,185,-12,-916,-1728,502,-708,-397,-141,-107,-60,330,-168,78,-330,-493,-2381,220,-511,-447,388,-517,-454,-361,-603,-238,-836,-888,-1836,-974,-1174,-1146,-743,-580,-361,-226,-572,744,-324,-181,-1.17,-10.08,362.92,-807.25,-262.33,-611.08,-227.5,-345.25,37.25,259.0,294.25,106.58,-152.08,-216.0,-248.08,-772.67,-658.17,-676.5,-518.0,-322.92,-506.92,-503.36
대전광역시,1708,2212,631,672,-9,-20,464,969,147,391,1105,306,1222,2598,239,647,571,93,1038,972,-247,629,209,-1131,2293,1207,-7,434,232,547,1064,1254,568,546,519,-102,1859,1443,1457,1165,835,-110,71,1343,2,-12,86,-2313,1925,1164,316,-573,-898,-843,30,756,-285,114,-333,1243,1919,994,-286,119,438,-472,-182,677,-289,54,-105,343,414,718,-91,-49,22,-139,445,1243,307,96,94,-745,18,1629,196,-44,-309,-398,-23,527,-232,-673,-649,-1090,-422,-191,-895,-481,-668,-699,46,250,-817,-432,-304,-997,-50,-545,-675,-457,-506,-503,-379,654,-402,-601,-568,-1726,-542,85,93,-555,-105,-522,1,508,-10,189,415,-602,183,738,104,46,502,275,-106,206,330,624,449,-7,1140,686,191,291,375,249,-732,-1134,-68,-3,224,-720,606,520,-111,78,-26,53,-229,34,-173,360,102,-903,38,145,-7,-325,-644,-353,42,-722,-1147,-1485,-1559,-2821,-1103,-2499,-2079,-1405,-1432,-1497,-1163,-1787,-1329,-1716,-1765,-2841,-1161,-840,-1146,-803,-963,-931,-478,-678,-516,-929,-806,-1380,-333,-906,-2037,-1104,-2202,-1738,-920,-920,-742,-1239,-1751,-2283,-1044,-2319,-1828,-1746,-1196,-574,-99,-919,-797,-1232,-1106,-1893,-1308,-1284,-1193,-1230,-1255,-1549,-1343,-1315,-1009,-1242,-1556,-2058,-714,-1059,-1323,-230,230,-894,-833,-865,-400,-1494,-1568,-1947,-537,-1234,-1274,-828,-517,-1126,-848,-608,401,-815,-399,714.67,570.0,712.92,485.5,218.0,267.5,192.92,-87.33,-467.5,-479.83,-87.08,278.67,41.58,25.92,-736.5,-1718.0,-885.92,-1347.92,-1229.42,-1361.83,-924.75,-707.73
울산광역시,522,4,466,99,605,207,139,303,36,182,228,425,318,296,708,793,510,300,488,403,470,688,700,314,830,44,267,526,498,59,21,98,-55,223,118,-4,409,-230,202,102,639,116,219,-512,681,246,13,-13,790,167,797,260,-145,-157,-425,-758,-319,-265,738,1081,387,48,-107,-113,-132,-625,-215,-742,-358,187,549,729,-172,-581,-196,-424,119,125,-22,-533,-297,-166,-126,-138,-224,-849,-490,-207,-190,-101,260,-97,27,116,339,424,668,582,175,462,311,323,281,285,94,534,76,115,-4,-934,-635,-149,-212,-179,-377,-640,-647,-357,-304,-593,-356,-1124,-1145,-340,-17,-204,-206,-534,-345,115,251,380,416,-295,-19,52,-89,665,6,-34,326,663,168,13,443,-57,305,1002,362,-255,-66,308,329,762,769,104,211,-230,1040,-75,71,191,175,899,-426,-48,412,87,154,-185,-10,324,374,167,42,158,149,5,1982,-374,273,-428,564,140,-397,-464,-115,-242,-233,1477,456,-1111,-456,-947,-737,-619,-452,-536,-583,-593,-648,-368,-724,-959,-1073,-2073,-1503,-773,-1021,-789,-963,-1486,-957,-261,-583,-435,-747,-1547,-1371,-1061,-986,-1319,-1015,-1180,-859,-834,-872,-863,-1065,-1245,-1186,-816,-872,-594,-615,-764,-633,-704,-635,-1043,-1135,-1470,-1319,-648,-1062,-1065,-943,-1245,-1138,-873,-1292,-1394,-744,-2484,-2232,-1140,-1093,-900,-753,-1365,-1336,-736,-65,268.0,499.0,218.75,156.0,147.0,-32.67,-200.92,-82.67,325.5,-419.25,-293.75,156.0,333.83,192.25,232.17,-6.67,-635.17,-993.08,-1054.5,-847.67,-1132.0,-1168.0
